p,peeling,GE
0.01,0,0
0.02,0.000128205,0
0.03,0.00108974,0
0.04,0.00416667,0
0.05,0.00903846,0
0.06,0.0122436,0
0.07,0.0225,0
0.08,0.028141,0
0.09,0.0362179,0
0.1,0.0421795,0
0.11,0.0601923,0
0.12,0.0624359,0.00102564
0.13,0.0697436,0.000128205
0.14,0.0846795,0.000384615
0.15,0.0895513,0.00166667
0.16,0.11109,0.00288462
0.17,0.112949,0.00397436
0.18,0.129744,0.00826923
0.19,0.14391,0.0166026
0.2,0.15641,0.018141
0.21,0.170064,0.0382692
0.22,0.181218,0.0512179
0.23,0.199808,0.0676282
0.24,0.210449,0.0839103
0.25,0.220513,0.0914744
0.26,0.222821,0.0960897
0.27,0.238397,0.109423
0.28,0.264679,0.152372
0.29,0.273333,0.159679
0.3,0.287436,0.172372
0.31,0.303333,0.192179
0.32,0.304936,0.185256
0.33,0.320513,0.20859
0.34,0.336474,0.221026
0.35,0.345513,0.229615
0.36,0.357308,0.239679
0.37,0.360641,0.24359
0.38,0.376538,0.263782
0.39,0.386923,0.273269
0.4,0.39391,0.276346
0.41,0.408782,0.290321
0.42,0.424423,0.306538
0.43,0.428654,0.315897
0.44,0.438205,0.318974
0.45,0.449231,0.330577
0.46,0.462115,0.346795
0.47,0.468141,0.351538
0.48,0.4725,0.355
0.49,0.489679,0.370897
0.5,0.495641,0.374679
